topic,score,clue,response
Textbook Definitions,100,"A specific, packaged cloud computing product or service supplied by a cloud service provider for use by customers, that is the subject of a FedRAMP Certification.",What is a Cloud Service Offering?
Textbook Definitions,100,The cloud service provider responsible for a cloud service offering in the context of FedRAMP Certification.,What is a Provider?
Textbook Definitions,200,"An entity that helps a provider understand, prepare for, or maintain FedRAMP Certification without replacing the provider's responsibility or the assessor's independence.",What is an Advisor?
Textbook Definitions,200,The status of a cloud service offering that has received FedRAMP Certification and meets the legal requirement to be FedRAMP authorized.,What is FedRAMP Certified?
Textbook Definitions,300,"A vulnerability that the provider does not intend to fully mitigate or remediate, OR that has not been fully remediated within the maximum overdue period in FedRAMP Vulnerability Detection and Response rules.",What is an Accepted Vulnerability?
Textbook Definitions,300,"The category of assurance a cloud service offering supplies to federal customers, increasing from minimal assurance at Class A to significant assurance at Class D.",What is a Certification Class?
Textbook Definitions,400,"The combination of a FedRAMP Certification Type (Rev5 or 20x), Path (Program or Agency), and Class (A, B, C, or D) for a cloud service offering.",What is a Certification Profile?
Textbook Definitions,400,A vulnerability that is not fully mitigated AND is reachable by a likely threat actor.,What is a Likely Exploitable Vulnerability (LEV)?
Textbook Definitions,500,"Verifiable data collected directly from an authoritative source that represents a factual and reproducible observation of a system's state, configuration, or behavior.",What is Deterministic Telemetry?
Textbook Definitions,500,"Changes to information resources that cause deviations from the intended and assessed state — commonly in configurations, deployed software, privileges, running processes, and availability.",What is Drift?
KSI Miami,100,This KSI requires that modifications to the cloud service offering are logged and monitored. (KSI-CMT-LMC),"What is ""Logging Changes""?"
KSI Miami,100,"This KSI family abbreviation, used in identifiers like KSI-IAM-AAM, covers identity and access management.",What is IAM?
KSI Miami,200,This KSI requires that changes to machine-based information resources are executed by redeploying version-controlled resources rather than direct modification wherever reasonable. (KSI-CMT-RMV),"What is ""Redeploying vs Modifying""?"
KSI Miami,200,This KSI calls for the effectiveness of documented change management procedures to be persistently reviewed. (KSI-CMT-RVP),"What is ""Reviewing Change Procedures""?"
KSI Miami,300,"This KSI requires the effectiveness of cybersecurity education and training to be persistently reviewed, including general, role-specific, and high-risk-role training. (KSI-CED-RAT)","What is ""Reviewing All Training""?"
KSI Miami,300,"This three-letter KSI family abbreviation covers monitoring, logging, and auditing.",What is MLA?
KSI Miami,400,"This three-letter KSI family abbreviation covers supply chain risk management, as in KSI-SCR-MSC.",What is SCR?
