topic,score,clue,response
Textbook Definitions,100,"A specific, packaged cloud computing product or service supplied by a cloud service provider for use by customers, that is the subject of a FedRAMP Certification.",What is a Cloud Service Offering?
Textbook Definitions,100,The entity responsible for a cloud service offering (CSO) in the context of FedRAMP Certification.,What is a Cloud Service Provider (CSP)?
Textbook Definitions,200,"An entity that helps a provider understand, prepare for, or maintain FedRAMP Certification without replacing the provider's responsibility or the assessor's independence.",What is an Advisor?
Textbook Definitions,200,The status of a cloud service offering that has received FedRAMP Certification and meets the legal requirement to be FedRAMP authorized.,What is FedRAMP Certified?
Textbook Definitions,300,"A vulnerability that the provider does not intend to fully mitigate or remediate, OR that has not been fully remediated within the maximum overdue period in FedRAMP Vulnerability Detection and Response rules.",What is an Accepted Vulnerability?
Textbook Definitions,300,"The category of assurance a cloud service offering supplies to federal customers, increasing from minimal assurance at Class A to significant assurance at Class D.",What is a Certification Class?
Textbook Definitions,400,"The combination of a FedRAMP Certification Type (Rev5 or 20x), Path (Program or Agency), and Class (A, B, C, or D) for a cloud service offering.",What is a Certification Profile?
Textbook Definitions,400,A vulnerability that is not fully mitigated AND is reachable by a likely threat actor.,What is a Likely Exploitable Vulnerability (LEV)?
Textbook Definitions,500,"Verifiable data collected directly from an authoritative source that represents a factual and reproducible observation of a system's state, configuration, or behavior.",What is Deterministic Telemetry?
Textbook Definitions,500,"Changes to information resources that cause deviations from the intended and assessed state — commonly in configurations, deployed software, privileges, running processes, and availability.",What is Drift?
KSI Miami,100,This KSI requires that modifications to the cloud service offering are logged and monitored. (KSI-CMT-LMC),"What is ""Logging Changes""?"
KSI Miami,100,This KSI family abbreviation covers identity and access management.,What is IAM?
KSI Miami,200,This KSI requires that changes to machine-based information resources are executed by redeploying version-controlled resources rather than direct modification wherever reasonable. (KSI-CMT-RMV),"What is ""Redeploying vs Modifying""?"
KSI Miami,200,This KSI calls for the effectiveness of documented change management procedures to be persistently reviewed. (KSI-CMT-RVP),"What is ""Reviewing Change Procedures""?"
KSI Miami,300,"This KSI requires the effectiveness of cybersecurity education and training to be persistently reviewed, including general, role-specific, and high-risk-role training. (KSI-CED-RAT)","What is ""Reviewing All Training""?"
KSI Miami,300,"This three-letter KSI family abbreviation covers monitoring, logging, and auditing.",What is MLA?
KSI Miami,400,This three-letter KSI family abbreviation covers supply chain risk management.,What is SCR?
KSI Miami,400,"This three-letter KSI family abbreviation covers recovery planning as in backups, recovery objectives, and contingency plans.",What is RPL?
KSI Miami,500,"Key Security Indicators are written as concise, declarative outcome statements; each KSI also lists these mappings to the older Rev5 baseline.",What are Related SP 800-53 Controls?
KSI Miami,500,This three-letter KSI family abbreviation concerns inventories and the policy/inventory domain.,What is PIY (Policy and Inventory)?
The Sacred Texts,100,"This ruleset require providers to continuously identify, analyze, prioritize, and respond to weaknesses in their offering.",What is Vulnerability Detection and Response?
The Sacred Texts,200,"These rules help agencies use shared, current authorization information to monitor a cloud offering together rather than in isolation.",What is Collaborative Continuous Monitoring?
The Sacred Texts,200,"This ruleset outline the expectations for a simple, plain-language overview of a provider's certification.",What is the Certification Package Overview?
The Sacred Texts,300,This ruleset govern how FedRAMP and providers exchange messages and how urgency is conveyed.,What is Addressing FedRAMP Communication?
The Sacred Texts,300,This ruleset clarify how providers should select and use cryptographic modules in a FedRAMP context.,What is Cryptographic Module Use?
The Sacred Texts,400,"This ruleset summarize the demands the FedRAMP Authorization Act and OMB M-24-15 place on agencies into a simple, FedRAMP-style rule set.",What is Agency Use of FedRAMP Certified Cloud Services?
The Sacred Texts,400,This ruleset let providers store and share their FedRAMP Certification data with agencies and FedRAMP.,What is Certification Data Sharing?
The Sacred Texts,500,"This ruleset govern how an offering reports and communicates an incident, supporting initial, ongoing, and final report variants.",What is Incident Evaluation and Communication?
The Sacred Texts,500,This ruleset define the conditions and process for notifying FedRAMP when an offering undergoes a material change.,What is Significant Change Notification?
Welcome to Whoville,100,Federal agencies must ensure any cloud service they use within FedRAMP's scope has a FedRAMP Certification; these stakeholders are the government customers.,What are Agencies?
Welcome to Whoville,200,"This stakeholder performs assessment, verification, or validation activities for an offering seeking to obtain or maintain FedRAMP Certification.",What is an Assessor?
Welcome to Whoville,200,This stakeholder helps a provider navigate the federal marketplace and prepare for FedRAMP without replacing the provider's responsibility or the assessor's independence.,What is an Advisor?
