type,prefix,subset_id,subset_name,subset_types,subset_paths,subset_classes,subset_affects,rule_id,name,class,statement,force,following_information,notes,terms
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-VRE,Verified Emails,,"FedRAMP MUST send messages to cloud service providers using an official @fedramp.gov or @gsa.gov email address with properly configured Sender Policy Framework (SPF), DomainKeys Identified Mail (DKIM), and Domain-based Message Authentication Reporting and Conformance (DMARC) email authentication.",MUST,,"Anyone at GSA can send email from @fedramp.gov or @gsa.gov - FedRAMP team members will typically have ""FedRAMP"" or ""F20B"" in their name but this is not universal or enforceable. The nature of government enterprise IT services makes it difficult for FedRAMP to isolate FedRAMP-specific team members with enforceable identifiers.",Provider
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-VRE,Verified Emails,,"FedRAMP MUST send messages to cloud service providers using an official @fedramp.gov or @gsa.gov email address with properly configured Sender Policy Framework (SPF), DomainKeys Identified Mail (DKIM), and Domain-based Message Authentication Reporting and Conformance (DMARC) email authentication.",MUST,,"Anyone at GSA can send email from @fedramp.gov or @gsa.gov - FedRAMP team members will typically have ""FedRAMP"" or ""F20B"" in their name but this is not universal or enforceable. The nature of government enterprise IT services makes it difficult for FedRAMP to isolate FedRAMP-specific team members with enforceable identifiers.",Provider
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-CDS,Criticality Designators,,"FedRAMP MUST convey the criticality of the message in the subject line, IF the message requires an elevated reaction, using one of the following designators:",MUST,"**Emergency:** There is a potential incident or crisis such that FedRAMP requires an extremely urgent reaction; emergency messages will contain aggressive timeframes for reaction and failure to meet these timeframes will result in corrective action.
**Emergency Test:** FedRAMP requires an extremely urgent reaction to confirm the functionality and effectiveness of the FedRAMP Security Inbox; emergency test messages will contain aggressive timeframes for reaction and failure to meet these timeframes will result in corrective action.
**Important:** There is an important issue that FedRAMP requires the cloud service provider to address; important messages will contain reasonable timeframes for reaction and failure to meet these timeframes may result in corrective action.",Messages sent by FedRAMP without one of these designators are considered general communications and do not require an elevated reaction; these may be resolved in the normal course of business by the cloud service provider.,"FedRAMP Security Inbox
Incident
Provider"
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-CDS,Criticality Designators,,"FedRAMP MUST convey the criticality of the message in the subject line, IF the message requires an elevated reaction, using one of the following designators:",MUST,"**Emergency:** There is a potential incident or crisis such that FedRAMP requires an extremely urgent reaction; emergency messages will contain aggressive timeframes for reaction and failure to meet these timeframes will result in corrective action.
**Emergency Test:** FedRAMP requires an extremely urgent reaction to confirm the functionality and effectiveness of the FedRAMP Security Inbox; emergency test messages will contain aggressive timeframes for reaction and failure to meet these timeframes will result in corrective action.
**Important:** There is an important issue that FedRAMP requires the cloud service provider to address; important messages will contain reasonable timeframes for reaction and failure to meet these timeframes may result in corrective action.",Messages sent by FedRAMP without one of these designators are considered general communications and do not require an elevated reaction; these may be resolved in the normal course of business by the cloud service provider.,"FedRAMP Security Inbox
Incident
Provider"
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-UFS,Use FedRAMP_Security Email in Emergencies,,FedRAMP MUST send Emergency and Emergency Test designated messages from fedramp_security@gsa.gov OR fedramp_security@fedramp.gov.,MUST,,,
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-UFS,Use FedRAMP_Security Email in Emergencies,,FedRAMP MUST send Emergency and Emergency Test designated messages from fedramp_security@gsa.gov OR fedramp_security@fedramp.gov.,MUST,,,
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-PNT,Public Notice of Emergency Tests,,FedRAMP MUST post a public notice at least 10 business days in advance of sending an Emergency Test message; such notices MUST include explanation of the likely expected actions and timeframes for the Emergency Test message.,MUST,,"Public notice may include blog posts, social media posts, announcements during Community Updates, or e-blasts.
As this process matures, additional confirmed options may become available.",Likely
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-PNT,Public Notice of Emergency Tests,,FedRAMP MUST post a public notice at least 10 business days in advance of sending an Emergency Test message; such notices MUST include explanation of the likely expected actions and timeframes for the Emergency Test message.,MUST,,"Public notice may include blog posts, social media posts, announcements during Community Updates, or e-blasts.
As this process matures, additional confirmed options may become available.",Likely
all,AFC,FRP,FedRAMP Responsibilities,"20x,Rev5","Program,Agency","B,C,D",FedRAMP,AFC-FRP-RQA,Required Actions,,FedRAMP MUST clearly specify the required actions in the body of messages that require an elevated reaction.,MUST,,,
all,AFC,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,AFC-FRP-RQA,Required Actions,,FedRAMP MUST clearly specify the required actions in the body of messages that require an elevated reaction.,MUST,,,
